"cvss2_score","cvss3_score","Version","detection_time","severity","external_references","Architecture","condition","cve","updated","Name","Title","published"
5,7.5,"1.40.4","2023-08-10T06:26:25+00:00","High","[""https://github.com/metabase/metabase/commit/042a36e49574c749f944e19cf80360fd3dc322f0"",""https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr"",""https://nvd.nist.gov/vuln/detail/CVE-2021-41277""]","x86","Version match","CVE-2021-41277","2023-07-17","Metabase version 1.40.4","CVE-2021-41277 affects Metabase version 1.40.4","2021-11-17"
0,9.6,"1.40.4","2023-08-10T06:26:25+00:00","Critical","[""https://github.com/metabase/metabase/pull/30852"",""https://github.com/metabase/metabase/security/advisories/GHSA-mw6j-f894-4qxv"",""https://github.com/metabase/metabase/pull/30853"",""https://github.com/metabase/metabase/pull/30854"",""https://nvd.nist.gov/vuln/detail/CVE-2023-32680""]","x86","greater than or equal 1.0.0 and less than 1.44.7","CVE-2023-32680","2023-05-26","Metabase version 1.40.4","CVE-2023-32680 affects Metabase version 1.40.4","2023-05-18"
0,6.3,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://github.com/metabase/metabase/security/advisories/GHSA-ch8f-hhq9-7gv5"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23629""]","x86","greater than or equal 1.0.0 and less than 1.43.7.1","CVE-2023-23629","2023-02-07","Metabase version 1.40.4","CVE-2023-23629 affects Metabase version 1.40.4","2023-01-28"
0,4.1,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://github.com/metabase/metabase/security/advisories/GHSA-492f-qxr3-9rrv"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23628""]","x86","greater than or equal 1.0.0 and less than 1.43.7.1","CVE-2023-23628","2023-02-06","Metabase version 1.40.4","CVE-2023-23628 affects Metabase version 1.40.4","2023-01-28"
3.5,5.4,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://github.com/metabase/metabase/security/advisories/GHSA-wjw6-wm9w-7ggr"",""https://github.com/metabase/metabase/releases/tag/v0.42.4"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24855""]","x86","greater than or equal 1.40.0 and less than 1.40.8","CVE-2022-24855","2022-04-22","Metabase version 1.40.4","CVE-2022-24855 affects Metabase version 1.40.4","2022-04-14"
2.6,5.3,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://www.qomplx.com/qomplx-knowledge-ntlm-relay-attacks-explained/"",""https://github.com/metabase/metabase/security/advisories/GHSA-5cfq-582c-c38m"",""https://secure77.de/metabase-ntlm-relay-attack/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24853""]","x86","greater than or equal 1.40.0 and less than 1.40.8","CVE-2022-24853","2022-04-22","Metabase version 1.40.4","CVE-2022-24853 affects Metabase version 1.40.4","2022-04-14"
0,7.5,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36884"",""http://seclists.org/fulldisclosure/2023/Jul/43"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36884""]","x64","KB5029250 patch is not installed","CVE-2023-36884","2023-08-08","Windows Server 2022","CVE-2023-36884 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36874"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36874""]","x64","KB5028171 patch is not installed","CVE-2023-36874","2023-07-19","Windows Server 2022","CVE-2023-36874 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:07+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36871"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36871""]","x64","KB5028171 patch is not installed","CVE-2023-36871","2023-07-19","Windows Server 2022","CVE-2023-36871 affects Windows Server 2022","2023-07-11"
0,9.8,"10.0.20348","2023-08-10T06:26:07+00:00","Critical","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35367"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35367""]","x64","KB5028171 patch is not installed","CVE-2023-35367","2023-07-18","Windows Server 2022","CVE-2023-35367 affects Windows Server 2022","2023-07-11"
0,9.8,"10.0.20348","2023-08-10T06:26:07+00:00","Critical","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35366"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35366""]","x64","KB5028171 patch is not installed","CVE-2023-35366","2023-07-18","Windows Server 2022","CVE-2023-35366 affects Windows Server 2022","2023-07-11"
0,9.8,"10.0.20348","2023-08-10T06:26:07+00:00","Critical","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35365"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35365""]","x64","KB5028171 patch is not installed","CVE-2023-35365","2023-07-18","Windows Server 2022","CVE-2023-35365 affects Windows Server 2022","2023-07-11"
0,8.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35364"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35364""]","x64","KB5028171 patch is not installed","CVE-2023-35364","2023-07-18","Windows Server 2022","CVE-2023-35364 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35363"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35363""]","x64","KB5028171 patch is not installed","CVE-2023-35363","2023-07-18","Windows Server 2022","CVE-2023-35363 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35362"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35362""]","x64","KB5028171 patch is not installed","CVE-2023-35362","2023-07-18","Windows Server 2022","CVE-2023-35362 affects Windows Server 2022","2023-07-11"
0,7,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35361"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35361""]","x64","KB5028171 patch is not installed","CVE-2023-35361","2023-07-18","Windows Server 2022","CVE-2023-35361 affects Windows Server 2022","2023-07-11"
0,7,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35360"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35360""]","x64","KB5028171 patch is not installed","CVE-2023-35360","2023-07-18","Windows Server 2022","CVE-2023-35360 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35358"",""http://packetstormsecurity.com/files/174117/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35358""]","x64","KB5028171 patch is not installed","CVE-2023-35358","2023-08-10","Windows Server 2022","CVE-2023-35358 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35357"",""http://packetstormsecurity.com/files/174116/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35357""]","x64","KB5028171 patch is not installed","CVE-2023-35357","2023-08-10","Windows Server 2022","CVE-2023-35357 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35356"",""http://packetstormsecurity.com/files/174118/Microsoft-Windows-Kernel-Security-Descriptor-Use-After-Free.html"",""http://packetstormsecurity.com/files/174115/Microsoft-Windows-Kernel-Arbitrary-Read.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35356""]","x64","KB5028171 patch is not installed","CVE-2023-35356","2023-08-10","Windows Server 2022","CVE-2023-35356 affects Windows Server 2022","2023-07-11"
